carcass,population,experiment,care,no_larvae,brood_mass
9.27,F1,exp_evol,FC,0,0
9.84,F1,exp_evol,FC,27,2.6742
9.38,F1,exp_evol,FC,20,2.4953
8.70,F1,exp_evol,FC,21,2.4507
9.44,F1,exp_evol,FC,21,3.0975
9.41,F1,exp_evol,FC,22,2.666
9.55,F1,exp_evol,FC,19,2.137
8.42,F1,exp_evol,FC,22,2.8475
9.32,F1,exp_evol,FC,20,2.4885
8.91,F1,exp_evol,FC,3,0.6928
9.37,F1,exp_evol,FC,1,0.0915
9.80,F1,exp_evol,FC,2,0.4143
9.90,F1,exp_evol,FC,28,3.354
8.95,F1,exp_evol,FC,20,2.571
10.25,F1,exp_evol,FC,16,2.7554
9.54,F1,exp_evol,FC,36,3.4852
9.47,F1,exp_evol,FC,27,3.0321
8.75,F1,exp_evol,FC,16,2.1081
9.59,F1,exp_evol,FC,14,2.0261
9.41,F1,exp_evol,FC,19,2.2198
9.52,F1,exp_evol,FC,11,1.8843
10.16,F1,exp_evol,FC,0,0
9.58,F1,exp_evol,FC,22,2.9107
9.26,F1,exp_evol,FC,14,2.139
8.66,F1,exp_evol,FC,0,0
8.66,F1,exp_evol,FC,19,2.1488
8.92,F1,exp_evol,FC,12,2.3223
9.47,F1,exp_evol,FC,17,2.6525
8.21,F1,exp_evol,FC,0,0
9.37,F1,exp_evol,FC,17,2.4861
9.05,F1,exp_evol,FC,17,2.6688
9.86,F1,exp_evol,FC,23,3.0467
9.67,F1,exp_evol,FC,23,2.9746
9.98,F1,exp_evol,FC,18,2.5291
9.65,F1,exp_evol,FC,12,2.1467
9.36,F2,exp_evol,FC,27,2.5481
9.58,F2,exp_evol,FC,26,2.8881
9.64,F2,exp_evol,FC,11,1.6962
13.25,F2,exp_evol,FC,0,0
12.41,F2,exp_evol,FC,14,2.1875
8.17,F2,exp_evol,FC,7,1.2574
10.96,F2,exp_evol,FC,14,1.5011
9.67,F2,exp_evol,FC,14,2.2929
9.49,F2,exp_evol,FC,14,1.2311
9.36,F2,exp_evol,FC,23,2.9028
9.05,F2,exp_evol,FC,10,1.6977
8.87,F2,exp_evol,FC,2,0.2666
8.50,F2,exp_evol,FC,11,1.894
9.37,F2,exp_evol,FC,28,3.1354
14.75,F2,exp_evol,FC,31,4.3572
13.55,F2,exp_evol,FC,17,2.6692
13.18,F2,exp_evol,FC,26,3.0282
14.86,F2,exp_evol,FC,12,2.209
